Rede,Nome Fantasia,Logradouro,Bairro,Cep,Uf,Municipio,Cnpj,Aberta,Latitude,Longitude
Casas Bahia,Casas Bahia - Bauru 2,"Rua Batista De Carvalho, 6",Centro,17010-001,SP,Bauru,33041260074281,Não,-22.315738,-49.074135
Casas Bahia,Shopping Novo Ribeirão Preto,"Avenida Presidente Kennedy, 1500",Ribeirania,14096-340,SP,Ribeirão Preto,33041260122006,Sim,-21.1980255,-47.7648354
Casas Bahia,Itaguai 2,"Rua Doutor Curvelo Cavalcanti, 475",Jardim Raisa,23815-291,RJ,Itaguaí,33041260080508,Sim,-22.8704251,-43.7817258
Casas Bahia,Ribeirão Preto,"Rua Sao Sebastiao, 411",Centro,14015-040,SP,Ribeirão Preto,33041260121972,Sim,-21.177943,-47.807334
Casas Bahia,Casas Bahia Ribeirão Preto 2,"Rua Duque De Caxias, 761",Centro,14015-020,SP,Ribeirão Preto,33041260121468,Sim,-21.176358,-47.806353
Casas Bahia,São Sebastião Do Paraiso,"Praça Comendador José Honorio, 5",Centro,37950-000,MG,São Sebastião Do Paraíso,33041260160528,Sim,-20.927198,-47.019391
Casas Bahia,Santa Cruz 1,"Rua Felipe Cardoso, 281",Sta.Cruz,23510-006,RJ,Rio De Janeiro,33041260084830,Sim,-22.9202324,-43.6809991
Casas Bahia,Santa Cruz 2,"Rua Felipe Cardoso S/N Lote 1, 448",Santa Cruz,23510-000,RJ,Rio De Janeiro,33041260085216,Sim,-22.921315,-43.673507
Casas Bahia,Barra do Piraí 3,"Rua Aureliano Garcia , 196",Centro,27135-400,RJ,Barra Do Piraí,33041260016591,Não,-22.468616,-43.827065
Casas Bahia,Barra Do Pirai,"Rua Governador Portela, 211",Centro,27123-000,RJ,Barra Do Piraí,33041260078945,Sim,-22.469858,-43.825939
Casas Bahia,Lavras,"Avenida Doutor Francisco Salles, 609",Centro,37200-068,MG,Lavras,33041260133040,Sim,-21.2455625,-45.0004081
Casas Bahia,Ibitinga,"Rua Presidente De Moraes, 879",Centro,14940-169,SP,Ibitinga,33041260122510,Sim,-21.7575352,-48.8311442
Casas Bahia,Sertãozinho 2,"Rua Barão Do Rio Branco , 1566",Centro,14160-570,SP,Sertãozinho,33041260062003,Não,-21.140566,-47.986895
Casas Bahia,Sertãozinho,"Rua Barao Do Rio Branco, 1373",Centro,14160-570,SP,Sertãozinho,33041260121549,Sim,-21.140771,-47.988644
Casas Bahia,Seropedica,"Avenida Ministro Fernando Costa, 369",Centro,23890-001,RJ,Seropédica,33041260088312,Sim,-22.8049771,-43.63881629999999
Casas Bahia,Campina Grande Do Sul,"Rua Professor Duilio Calderari, 1720",Jardim Paulista,83430-000,PR,Campina Grande Do Sul,33041260182173,Sim,-25.3049524,-49.0541429
Casas Bahia,Taquaritinga,"Rua Prudente De Moraes, 425",Centro,15900-053,SP,Taquaritinga,33041260182254,Sim,-21.4090907,-48.5040722
Casas Bahia,Shopping Nova Iguaçu,"Avenida Abilio Augusto Tavora, 1111",Jardim Alvorada,26265-090,RJ,Nova Iguaçu,33041260163039,Sim,-22.8200895,-43.5961265
Casas Bahia,Campo Grande 1,"Rua Coronel Agostinho, 145",Campo Grande,23050-360,RJ,Rio De Janeiro,33041260083000,Não,-22.904628,-43.559546
