Rede,Nome Fantasia,Logradouro,Bairro,Cep,Ddd,Telefone,Uf,Municipio,Codigo Unidade,Cnpj,Latitude,Longitude
Yamaha,MOTO CARLOS,AV. HONORATO VIANA  815,GERCINO COELHO,56308-000,087,3863-4000,PE,PETROLINA,162,02524869000160,-9.391904,-40.5179603
Yamaha,CASA DAS MOTOCICLETAS - ACU,AV. SENADOR JOAO CAMARA  1250,CENTRO,59650-000,084,3331-1892,RN,ACU,184,10293191000342,-5.576094,-36.908834
Yamaha,BEIRA RIO NAUTICA,AVENIDA NIVALDO DE CRISTO LOBO  41,MARIA FARINHA,53427-450,081,3435-8740 ,PE,PAULISTA,459,08546634000156,-7.850599000000001,-34.8392196
Yamaha,DISNOVE MOTOS - PAULISTA,AV. MARECHAL FLORIANO PEIXOTO  72,CENTRO,53401-460,081,3271-6868,PE,PAULISTA,379,11696408000751,-7.9419299,-34.8793128
Yamaha,RECIFE NAUTICA,AV. DOUTOR CLAUDIO JOSE GUEIROS LEITE  9558,NOSSA SENHORA DO O,53429-000,081,3435-0104,PE,PAULISTA,575,24424970000182,-7.884724599999998,-34.82774819999999
Yamaha,DISNOVE MOTOS - OLINDA,AV. PRESIDENTE GETULIO VARGAS  1180,BAIRRO NOVO,53030-010,081,3271-6868,PE,OLINDA,92,11696408000590,-7.996932,-34.839552
Yamaha,MOTONAUTICA ,AV DO PATROCINIO 3051,CENTRO,76980-000,069,3321-3272,RO,VILHENA,544,08642286000110,-12.0416685,-60.1184797
Yamaha,PICA PAU - VILHENA,RUA COSTA E SILVA  122,CENTRO (S-01),76980-146,069,3441-6000,RO,VILHENA,415,09601702000286,-12.7388046,-60.1464899
Yamaha,MOTOVIA JABOATAO,RUA VISCONDE RIO BRANCO  146B,CENTRO,54110-140,081,3481-3596,PE,JABOATAO DOS GUARARAPES,203,05152701000402,-8.112613,-35.019906
Yamaha,GERALMOTOS,ROD PE 75 - KM 03 - N.100,CENTRO,55900-000,081,3626-0611,PE,GOIANA,121,06170282000151,-7.5755961,-35.0180702
Yamaha,MOTO ARTE,RUA VISCONDE DE INHAUMA  843,MAURICIO DE NASSAU,55012-010,081,3727-7050,PE,CARUARU,125,13240838000102,-8.275197,-35.975470
Yamaha,SEM FRONTEIRAS GARANHUNS ,ROD BR - 423  SN KM 101,MAGANO,55294-440,087,3822-2800,PE,GARANHUNS,320,04972225000241,-8.8828551,-36.4968966
Yamaha,MOTO ARTE - GRAVATA,RUA 15 DE NOVEMBRO  159  LOJA 04 E 05,NOSSA SENHORA DAS GRACAS,55642-550,081,3721-3552,PE,GRAVATA,149,13240838000285,-23.7552622,-46.6765447
Yamaha,SODDER COMERCIO ,AV PARIGOT DE SOUZA 4015,JARDIM SANTA MARIA ,85903-170,045,3278-6222,PR,TOLEDO,581,08111369000183,-24.7198749,-53.7536958
Yamaha,SODDER MOTOS,AV. PARIGOT DE SOUZA  4015,JARDIM SANTA MARIA,85903-170,045,3278-6222,PR,TOLEDO,288,08111369000183,-24.7198749,-53.7536958
Yamaha,SEM FRONTEIRAS,RUA JULIO TAVARES DE LIMA  307,SUCUPIRA,56509-190,087,3822-2800,PE,ARCOVERDE,334,04972225000160,-8.426373,-37.057909
Yamaha,SERTAO MOTOS,ROD BR 316 SN - KM 22 8,CENTRO,56280-000,087,3873-2461,PE,ARARIPINA,339,07207680000168,-7.584800,-40.500546
Yamaha,SAVANA MOTOS - UNIAO DA VITORIA,RUA ZACARIAS GOES VASCONCELOS  913,CENTRO,84600-225,042,3035-3202,PR,UNIAO DA VITORIA,408,20798487000379,-26.2253499,-51.0940259
Yamaha,YZA NAUTICA,R MANOEL RAMIRES  6190  LOTE 8-F-2-A,PARQUE INDUSTRIAL I,87507-011,044,3624-4250,PR,UMUARAMA,602,09449316000130,-23.7782162,-53.288851
Yamaha,L9 PONTA GROSSA,AV. MONTEIRO LOBATO  1300,JARDIM CARVALHO,84015-480,042,3238-3003,PR,PONTA GROSSA,245,15212036000378,-25.0772438,-50.1549237
Yamaha,VIP MOTORS - PONTA GROSSA,"AV. MONTEIRO LOBATO, 695",JARDIM CARVALHO,84015480,048,3431-7854,PR,PONTA GROSSA,605,31110853/000371,-25.0772438,-50.1549237
Yamaha,MOTOMANIA - PARANAGUA,AL. CORONEL ELYSIO PEREIRA  432,ESTRADINHA,83206-000,041,3722-1882,PR,PARANAGUA,407,03243460000210,-25.5270503,-49.5189657
Yamaha,CICLONAUTICA,AV. PRESIDENTE VARGAS   1011,CENTRO,87900-000,044,3425-1267,PR,LOANDA,480,03711362000189,-22.9262769,-53.0888943
Yamaha,TRIASA MOTOS,"Rua Paraná, 1210",JARDIM AMÉRICA,87705190,44,39001555,PR,PARANAVAÍ,608,43007341/000100,-23.0813291,-52.458353
Yamaha,TROPICAL NAUTIC,RUA INDEPENDENCIA  855,CENTRO,85960-000,045,3254-4140,PR,MARECHAL CANDIDO RONDON,319,03017190000148,-24.5836925,-54.1501922
Yamaha,TROPICAL NAUTICA,RUA INDEPENDENCIA  855,CENTRO,85960-000,045,3254-4140,PR,MAL.CAND. RONDON,590,03017190000148,-24.5836925,-54.1501922
Yamaha,PB,RUA BRASIL  12,CENTRO,86010-200,043,3379-9999,PR,LONDRINA,7,78599958000308,-23.308897,-51.154009
Yamaha,MARYNGA MOTO NAUTICA,AV COLOMBO  4629 ,ZONA 07 ,87030-120,044,3262-9090,PR,MARINGA,537,05282006000112,-23.41459,-51.92718
Yamaha,VENTANIA,AV. COLOMBO  4629 - ZN 07,ZONA 04,87030-120,044,3262-9090,PR,MARINGA,144,05282006000112,-23.4149519,-51.9247059
Yamaha,SAVANA MOTOS - IRATI,RUA DEZENOVE DE DEZEMBRO  768,CENTRO,84500-016,046,3536-1101,PR,IRATI,409,20798487000298,-25.475097,-50.6525133
Yamaha,MAR SUL SERVICOS MARITIMOS,RUA UNIAO VITORIA  23 ,CENTRO,83280-000,041,3443-6024,PR,GUARATUBA,531,07095542000134,-25.8757863,-48.7995122
Yamaha,NAUTICA NERI,RUA LIMEIRA  589,JARDIM LARANJEIRAS,85868-160,045,3524-3628,PR,FOZ DO IGUACU,554,80271109000100,-25.4939172,-54.5795089
Yamaha,PICO MOTOS,RUA MARECHAL FLORIANO  1270,CENTRO,85851-020,045,3523-1505,PR,FOZ DO IGUACU,150,08844533000161,-25.5428889,-54.5834745
Yamaha,BOATSP EQUIPAMENTOS,R GOVERNADOR AGAMENON MAGALHAES  537,TARUMA,82800-100,011,4304-6512,PR,CURITIBA,463,10233269000414,-25.43570907774024,-49.23341069339699
Yamaha,DVR MOTOS - CURITIBA,RUA ISAAC GUELMANN  4387,NOVO MUNDO,81050-030,041,3532-9839,PR,CURITIBA,378,37422881000149,-25.4842582,-49.2958824
Yamaha,INFINITY MOTOS,AV. MANOEL RIBAS  1636,MERCES,80810-260,041,3010-7900,PR,CURITIBA,266,21668332000119,-25.4194811,-49.2950261
Yamaha,MIZUNAUTICA,TRAVESSA SOLIERI  73 ,PRADO VELHO,80215-290,041,3015-1506,PR,CURITIBA,539,82205691000124,-25.4588525,-49.2549187
Yamaha,MOTOMANIA,AV. ERASTO GAERTNER  529,BACACHERI,82510-160,041,3256-5829,PR,CURITIBA,48,03243460000139,-25.40211654,-49.2439481
Yamaha,PROMOTOSSUL,AV. MARECHAL FLORIANO  3006,PAROLIM,80220-000,041,3333-5225,PR,CURITIBA,77,04763202000146,-25.4554872,-49.2601267
Yamaha,MOTOMANIA - VILA MARACANA,AV. MARGINAL JOSE DE ANCHIETA  1340,VILA MARACANA,83408-010,041,3663-1200,PR,COLOMBO,180,03243460000309,-25.356921,-49.180731
Yamaha,SAVANA MOTOS,AV. XV DE NOVEMBRO  6843  SALA 01,CENTRO,85010-000,042,3035-3205,PR,GUARAPUAVA,258,20798487000107,-25.3894178,-51.4615262
Yamaha,IAPO TOP MOTOS,RUA TIRADENTES  65,CENTRO,84165-630,042,3232-1010,PR,CASTRO,210,12842603000110,-24.7889164,-50.0041866
Yamaha,MOTO-K,RUA NOSSA SENHORA DAS GRACAS  295,CANGO,85604-080,046,3524-5066,PR,FRANCISCO BELTRAO,165,09626955000123,-26.0693341,-53.05981
Yamaha,MOTONAUTICA CENTER,AV. LUIS ANTONIO FAEDO  277,CENTRO,85601-275,046,3523-3060,PR,FRANCISCO BELTRAO,545,79129680000106,-26.0839499,-53.0472977
Yamaha,BIBBO S,AV. BRASIL  2262-B,SAO CRISTOVAO,85816-290,045,2104-3707,PR,CASCAVEL,13,02461092000132,-24.9525477,-53.5057225
Yamaha,BIBBOS MOTONAUTICA,AV. BRASIL. 2262 B,SAO CRISTOVAO,85816-290,045,2104-3707,PR,CASCAVEL,461,02461092000132,-24.9525477,-53.5057225
Yamaha,CENTRO NAUTICO NORDESTE ,R CREUSA JOSEFA MORATO  179 - QUADRA 24 LOTE 8A LOTEAM.BELA VISTA II  ,INTERMARES,58310-000,083,3248-2460,PB,CABEDELO,477,09260881000154,-7.0294857,-34.8458603
Yamaha,MARINA DO ALEMAO,AVENIDA JOSE AMERICO DE ALMEIDA FILHO  S/N - QUADRA Q-07 - LOTES 6 7 E 8 ,AREIA DOURADA,58101-212,083,3228-2777,PB,CABEDELO,535,00642924000191,-6.9814842,-34.8280932
Yamaha,JAMPA MOTOS - SANTA RITA,RUA SIQUEIRA CAMPOS  175,CENTRO,58300-180,083,3023-3034,PB,SANTA RITA,416,21514649000524,-7.1218039,-34.9823782
Yamaha,JAMPA MOTOS,AV. PRESIDENTE GETULIO VARGAS  183 - ANDAR 1,CENTRO,58013-240,083,4009-0404,PB,JOAO PESSOA,119,21514649000109,-7.1207444,-34.8765902
